phenotype,neighbour_phenotype,INT Donor B,pvalue_INT Donor B,INT Donor E,pvalue_INT Donor E
Stroma,Exhausted T-cells,-0.0015554982430123474,4.1328078758917107e-66,-0.003679454328260216,0.0
Stroma,Helper T-cells,-0.11945904123279281,3.692747331691507e-21,0.054248014371301174,5.228539404053648e-08
Stroma,LZ B-cells,-0.03382604210322705,0.0,-0.01704768244530972,0.0
Stroma,Other,0.09468390341403655,1.9536055619194994e-51,-0.07634753745565961,0.0
Stroma,Stroma,1.0,0.0,1.0,0.0
Stroma,TFH,-0.08275573035881234,0.0,-0.062377465507965316,0.0
Stroma,Treg,-0.061550984880234694,1.4290509161221979e-24,-0.1008772329773944,4.4791943978660654e-24
Stroma,myeloid-derived cells,-0.11534059769818499,0.0,-0.04926000565368448,0.0
TFH,B-cells,0.23592861345361835,5.282040167765846e-186,-0.11812966552242175,0.0
TFH,Cytotoxic T-cells,0.32916993528142774,0.0,0.10174438969712539,0.006280363882095814
TFH,DZ B-cells,-0.09033634045891352,0.0,-0.03270827981847761,0.0
TFH,Exhausted T-cells,0.012330849186114925,7.823750742514749e-193,0.031217647837221436,0.0
TFH,Helper T-cells,-0.14908560502059226,1.2731671676342304e-08,-0.037791218114875964,2.6414176601629396e-164
TFH,LZ B-cells,0.4251568935085311,0.0,-0.13844974273949356,0.0
TFH,Other,-0.004694547950578545,0.0,-0.0022690298826954364,0.0
TFH,Stroma,-0.12585801137477937,0.0,-0.05324630844795243,0.0
TFH,TFH,1.0,0.0,1.0,0.0
TFH,Treg,0.11347813296724849,2.920374330708481e-259,-0.06798527271170476,0.0
TFH,myeloid-derived cells,-0.01278436948421259,0.0,-0.0023390856938249696,0.0
Treg,B-cells,0.46802765176063943,2.820748277045669e-42,-0.18481197928394508,0.0
Treg,Cytotoxic T-cells,0.8304169367033916,0.0,0.24583427156045937,0.0
Treg,DZ B-cells,-0.15186865413696263,6.432575583027958e-219,-0.032894243038354726,0.0
Treg,Exhausted T-cells,0.028191834089436166,2.617389335712082e-65,0.043721384072656314,1.4273955859764442e-165
Treg,Helper T-cells,0.5553035212788939,0.0,0.21329655482999327,0.0
Treg,LZ B-cells,-0.2562108446748758,0.0,-0.007092997072731366,0.0
Treg,Other,-0.023223158349535537,0.0,-0.06372438639945958,0.0
Treg,Stroma,-0.8249081875135019,1.4909588692080459e-22,-0.41516550326503043,8.735128127488692e-26
Treg,TFH,1.0,8.05354918881354e-242,-0.32777902874727916,0.0
Treg,Treg,0.644199611147116,0.0,1.0,0.0
Treg,myeloid-derived cells,-0.11892417368762151,0.0,-0.13977707723485702,3.8558757052922206e-218
myeloid-derived cells,B-cells,-0.016442088976641612,0.0,-0.03302334158807103,0.0
myeloid-derived cells,Cytotoxic T-cells,-0.022838800558846285,0.0,-0.038503082354180936,0.0
myeloid-derived cells,DZ B-cells,-0.04729409862944104,0.0,-0.04586648400864113,0.0
myeloid-derived cells,Exhausted T-cells,-0.0005311348967173555,1.2542092790873072e-83,-0.002015385425997155,6.992812197941194e-252
myeloid-derived cells,Helper T-cells,-0.012447030840463242,0.0,-0.018797091522208754,0.0
myeloid-derived cells,LZ B-cells,-0.016592192317018258,0.0,-0.04940987407134201,0.0
myeloid-derived cells,Other,0.08309374530927062,0.0,0.7183729385109858,0.0
myeloid-derived cells,Stroma,-0.08262034246654427,0.0,-0.14231519047368144,0.0
myeloid-derived cells,TFH,-0.006021453231263062,0.0,-0.007916644712577059,0.0
myeloid-derived cells,Treg,-0.00635629914441096,0.0,-0.09812160809315558,6.30459263850718e-198
myeloid-derived cells,myeloid-derived cells,1.0,0.0,1.0,0.0
